"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"a10",0.00599704057026394,0.000226112949246062,0.00410964552125258,0.000534589101002535,0.00283263162609843,0.00535749253969037,0.00850811759224791,0.0151013037711879,330.337484472217,1.00153076271111
"a11",0.0212701741530238,0.00121873305404985,0.0189317608709966,0.000584813518192967,0.00656638665737704,0.0158311108565052,0.0317493231731993,0.0689620660017956,241.304177345672,1.00082243665363
"a20",0.00334090961757646,0.000119534765755367,0.00250813082519038,0.00023532238704121,0.00150843109736029,0.00284228900001637,0.00454974773736717,0.00929948646101201,440.262709298033,1.00066587927187
"a21",0.0165043146007304,0.000949721326281497,0.0149369274699721,0.000337519159854355,0.0052468406189142,0.01231420876059,0.0225751891051305,0.0540749922558479,247.360393829229,1.00015165231402
"p0",0.83182003285475,0.00118396097163126,0.0381639262486203,0.748106696595365,0.810332402861049,0.833502341946392,0.857181615718195,0.898437764079728,1039.03774149455,0.999058132946957
"p1",0.109067960229591,0.000939037997451751,0.0312330350895114,0.0585963063716603,0.0870371411513786,0.107701929642273,0.128462011171621,0.179594503212103,1106.2723203618,0.999055453395117
"p2",0.0591120069156586,0.000743411323923889,0.0237797504260832,0.0217543468157154,0.0415435625762904,0.0559062601526219,0.0737959669369617,0.112311847482731,1023.18988997368,0.999488626086248
"p[1]",0.83182003285475,0.00118396097163126,0.0381639262486203,0.748106696595365,0.810332402861049,0.833502341946392,0.857181615718195,0.898437764079728,1039.03774149455,0.999058132946957
"p[2]",0.109067960229591,0.000939037997451751,0.0312330350895114,0.0585963063716603,0.0870371411513786,0.107701929642273,0.128462011171621,0.179594503212103,1106.2723203618,0.999055453395117
"p[3]",0.0591120069156586,0.000743411323923889,0.0237797504260832,0.0217543468157154,0.0415435625762904,0.0559062601526219,0.0737959669369617,0.112311847482731,1023.18988997368,0.999488626086248
"lp__",-73.5028055868847,0.0883876976372098,1.58222220108554,-77.3888325672558,-74.2440613489799,-73.15989930371,-72.3569947993571,-71.6386828623125,320.44338106894,1.02456594924237
